inventory_id;product_id;quantity;location_id;rack_no;shelf_no;expiration_date;po_id
1;17;170;5;3;47;2019.03.09;1
2;16;140;5;20;29;2019.09.07;2
3;4;99;3;9;14;2019.06.01;3
4;2;231;3;3;1;2019.06.15;4
5;3;137;1;20;40;2019.07.13;5
6;25;272;3;11;21;2020.01.11;6
7;9;123;1;5;4;2019.05.18;7
8;25;42;1;3;31;2019.06.29;8
9;28;107;5;13;23;2019.03.09;9
10;10;172;3;4;16;2019.02.09;10
11;16;204;1;3;30;2018.12.01;11
12;13;260;4;11;39;2019.01.12;12
13;6;16;5;16;26;2019.03.09;13
14;11;166;2;4;23;2019.10.19;14
15;9;82;2;10;44;2018.12.01;15
16;30;61;1;14;46;2020.01.11;16
17;23;108;2;19;14;2018.12.01;17
18;8;156;2;8;45;2019.12.14;18
19;9;277;5;8;4;2019.01.12;19
20;20;21;1;19;36;2019.09.07;20
21;24;43;1;11;32;2019.11.02;21
22;22;252;4;4;13;2019.08.10;22
23;28;137;2;19;45;2019.10.05;23
24;25;255;2;6;8;2019.12.14;24
25;16;129;5;2;40;2019.08.10;25
26;23;289;4;18;47;2019.01.26;26
27;30;59;2;11;33;2019.05.18;27
28;4;13;3;13;30;2019.08.24;28
29;12;216;2;13;44;2018.12.29;29
30;19;120;4;1;46;2019.10.05;30
31;6;233;3;9;49;2019.03.09;31
32;27;143;2;13;8;2019.04.06;32
33;18;243;5;19;20;2019.07.27;33
34;1;174;5;3;22;2019.12.28;34
35;23;300;1;19;25;2019.08.24;35
36;3;263;4;3;36;2019.10.19;36
37;1;263;1;11;50;2018.12.01;37
38;22;120;5;8;29;2019.03.09;38
39;28;34;5;11;35;2019.01.12;39
40;4;173;3;18;37;2019.01.12;40
41;17;299;1;5;48;2019.06.15;41
42;4;254;5;5;40;2019.08.24;42
43;15;38;4;12;36;2019.04.20;43
44;24;17;1;1;24;2019.12.14;44
45;11;47;1;20;17;2019.04.06;45
46;9;40;3;18;8;2019.09.21;46
47;22;22;4;19;15;2019.08.10;47
48;17;66;1;18;48;2019.02.23;48
49;5;260;1;16;49;2019.04.06;49
50;20;206;2;14;50;2019.11.30;50
51;6;238;3;17;26;2019.11.02;51
52;4;117;3;17;27;2019.05.04;52
53;25;161;4;20;1;2019.05.04;53
54;17;40;4;16;45;2018.12.29;54
55;24;91;5;13;46;2019.06.15;55
56;24;237;4;1;44;2020.01.11;56
57;13;231;3;7;43;2019.08.10;57
58;9;31;4;2;34;2019.11.16;58
59;21;159;2;18;28;2019.11.16;59
60;6;16;1;12;10;2019.10.05;60
61;3;198;5;10;1;2019.12.28;61
62;1;73;4;4;3;2019.08.10;62
63;15;285;3;2;42;2018.12.15;63
64;25;111;3;12;15;2019.03.09;64
65;20;200;2;6;9;2018.12.15;65
66;13;261;4;12;14;2018.12.15;66
