po_id;supplier_id;date_ordered;date_eta;date_arrived;signee_id;status
8;25;2018.07.06;2018.07.08;NULL;NULL;Confirmed
49;5;2018.03.19;2018.03.21;NULL;NULL;Confirmed
68;16;2018.05.04;2018.05.06;NULL;NULL;Confirmed
93;10;2018.07.02;2018.07.04;NULL;NULL;Confirmed
96;22;2018.06.15;2018.06.17;NULL;NULL;Confirmed
115;19;2018.07.26;2018.07.28;NULL;NULL;Confirmed
132;17;2018.05.16;2018.05.18;NULL;NULL;Confirmed
162;22;2018.07.14;2018.07.16;NULL;NULL;Confirmed
225;4;2018.09.22;2018.09.24;NULL;NULL;Confirmed
231;23;2018.12.09;2018.12.11;NULL;NULL;Confirmed
3;4;NULL;NULL;NULL;NULL;Draft
48;17;NULL;NULL;NULL;NULL;Draft
77;6;NULL;NULL;NULL;NULL;Draft
101;15;NULL;NULL;NULL;NULL;Draft
117;7;NULL;NULL;NULL;NULL;Draft
128;NULL;NULL;NULL;NULL;NULL;Draft
164;NULL;NULL;NULL;NULL;NULL;Draft
194;NULL;NULL;NULL;NULL;NULL;Draft
229;NULL;NULL;NULL;NULL;NULL;Draft
274;NULL;NULL;NULL;NULL;NULL;Draft
298;NULL;NULL;NULL;NULL;NULL;Draft
328;NULL;NULL;NULL;NULL;NULL;Draft
6;25;2018.04.01;NULL;NULL;NULL;Ordered
51;6;2018.09.14;NULL;NULL;NULL;Ordered
84;22;2018.07.25;NULL;NULL;NULL;Ordered
112;24;2018.06.20;NULL;NULL;NULL;Ordered
142;7;2018.09.29;NULL;NULL;NULL;Ordered
169;23;2018.11.10;NULL;NULL;NULL;Ordered
200;24;2018.11.30;NULL;NULL;NULL;Ordered
227;8;2018.12.22;NULL;NULL;NULL;Ordered
241;27;2018.11.01;NULL;NULL;NULL;Ordered
245;17;2018.10.11;NULL;NULL;NULL;Ordered
255;27;2018.11.04;NULL;NULL;NULL;Ordered
261;23;2019.05.01;NULL;NULL;NULL;Ordered
291;13;2019.01.17;NULL;NULL;NULL;Ordered
322;30;2019.04.03;NULL;NULL;NULL;Ordered
345;7;2018.12.15;NULL;NULL;NULL;Ordered
373;9;2019.04.27;NULL;NULL;NULL;Ordered
403;1;2019.09.06;NULL;NULL;NULL;Ordered
